O*NET-SOC Code,Occupation (O*NET-SOC Title),Task ID,Task,Task Type,Date,Category,Frequency,Importance,Relevance,Occupation Mean Annual Wage,Occupation Employment,Skill (O*NET Work Activity),Skill ID (O*NET Generalized Work Activity ID),Worker_Receptiveness,Job_Security_Fear_Rate,Desire_Reduce_Stress,Desire_Reduce_Error,Desire_Repetitive,Need_Empathy,Need_Ethics,Need_Oversight,AI_Capability,AI_Opportunity_Score,AI_Resistance_Gap,Ethics_Empathy_Need,Automation_Quadrant,Task_Impact_Score,Automation_ROI_Score,Medical_Risk_Score
11-9111.00,Medical and Health Services Managers,49,"Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports.",Core,08/2022,5.0,5.0,4.31,92.86,137730.0,565840.0,"['Thinking Creatively', 'Documenting/Recording Information']","['4.A.2.b.2', '4.A.3.b.6']",3.4,0.7,0.2,0.5,0.5,0.5,0.5,0.5,5.0,4.2,1.6,0.5,1. Mỏ Vàng AI (Quick Wins),21.549999999999997,107.74999999999999,2.155
11-9111.00,Medical and Health Services Managers,51,"Conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting.",Core,08/2022,3.0,3.0,4.16,89.29,137730.0,565840.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4'],3.3,0.7,0.3,0.5,0.4,0.2,0.3,0.2,3.6666666666666665,3.4833333333333334,0.3666666666666667,0.25,1. Mỏ Vàng AI (Quick Wins),12.48,45.76,1.04
11-9111.00,Medical and Health Services Managers,55,"Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options.",Core,08/2022,3.0,3.0,4.16,89.29,137730.0,565840.0,['Updating and Using Relevant Knowledge'],['4.A.2.b.3'],2.3,0.8,0.0,0.1,0.1,0.4,0.5,0.3,4.0,3.15,1.7000000000000002,0.45,2. Vùng Kháng Cự (Resistance),12.48,49.92,1.872
11-9111.00,Medical and Health Services Managers,52,"Establish work schedules and assignments for staff, according to workload, space, and equipment availability.",Core,08/2022,5.0,5.0,4.11,100.0,137730.0,565840.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4'],3.6,0.7,0.2,0.4,0.7,0.2,0.3,0.2,3.5,3.55,-0.10000000000000009,0.25,1. Mỏ Vàng AI (Quick Wins),20.55,71.925,1.0275
11-9111.00,Medical and Health Services Managers,61,Review and analyze facility activities and data to aid planning and cash and risk management and to improve service utilization.,Core,08/2022,3.0,3.0,3.83,82.14,137730.0,565840.0,"['Monitoring Processes, Materials, or Surroundings', 'Analyzing Data or Information']","['4.A.1.a.2', '4.A.2.a.4']",2.9,0.9,0.0,0.4,0.1,0.4,0.4,0.5,2.3333333333333335,2.6166666666666667,-0.5666666666666664,0.4,4. Thành Trì Con Người (Safe Haven),11.49,26.810000000000002,1.532
11-9111.00,Medical and Health Services Managers,57,"Prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives.",Core,08/2022,3.0,3.0,3.78,96.43,137730.0,565840.0,['Documenting/Recording Information'],['4.A.3.b.6'],2.8,0.7,0.2,0.4,0.3,0.3,0.3,0.3,3.0,2.9,0.20000000000000018,0.3,2. Vùng Kháng Cự (Resistance),11.34,34.019999999999996,1.134
11-9121.01,Clinical Research Coordinators,15612,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.",Core,08/2021,4.0,4.0,4.49,84.74,,,['Scheduling Work and Activities'],['4.A.2.b.5'],3.1,0.7,0.1,0.3,0.4,0.4,0.1,0.2,1.5,2.3,-1.6,0.25,3. Chờ Công Nghệ (Unmet Needs),17.96,26.94,1.1225
11-9121.01,Clinical Research Coordinators,15595,"Prepare study-related documentation, such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, or progress reports.",Core,08/2021,3.0,3.0,4.41,82.57,,,['Documenting/Recording Information'],['4.A.3.b.6'],2.7,0.8,0.2,0.3,0.5,0.5,0.4,0.5,3.0,2.85,0.2999999999999998,0.45,2. Vùng Kháng Cự (Resistance),13.23,39.69,1.9845000000000002
11-9121.01,Clinical Research Coordinators,15594,Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.,Core,08/2021,4.0,4.0,4.35,89.64,,,"['Documenting/Recording Information', 'Communicating with Supervisors, Peers, or Subordinates']","['4.A.3.b.6', '4.A.4.a.2']",2.4,0.7,0.4,0.2,0.2,0.4,0.3,0.2,2.6666666666666665,2.533333333333333,0.2666666666666666,0.35,4. Thành Trì Con Người (Safe Haven),17.4,46.39999999999999,1.5224999999999997
11-9121.01,Clinical Research Coordinators,15614,"Maintain required records of study activity including case report forms, drug dispensation records, or regulatory forms.",Core,08/2021,5.0,5.0,4.27,86.6,,,['Documenting/Recording Information'],['4.A.3.b.6'],3.3,0.6,0.0,0.3,0.5,0.2,0.2,0.5,4.5,3.9,1.2000000000000002,0.2,1. Mỏ Vàng AI (Quick Wins),21.349999999999998,96.07499999999999,0.854
