Task ID,Occupation (O*NET-SOC Title),Task,User ID,Date,Automation Capacity Rating,Physical Action Requirement,Involved Uncertainty,Domain Expertise Requirement,Interpersonal Communication Requirement,Human Agency Scale Rating
16246,Biostatisticians,Calculate sample size requirements for clinical studies.,OrangeWolf,2025/3/24,3,1,1,1,1,2
16786,Bioinformatics Scientists,Develop new software applications or customize existing applications to meet specific scientific project needs.,BlackCat,2025/3/24,4,2,2,5,2,2
16790,Bioinformatics Scientists,Create novel computational approaches and analytical tools as required by research goals.,BlackCat,2025/3/24,4,2,3,5,2,2
16795,Bioinformatics Scientists,"Analyze large molecular datasets, such as raw microarray data, genomic sequence data, or proteomics data, for clinical or basic research purposes.",BlackCat,2025/3/24,4,3,3,5,2,2
16791,Bioinformatics Scientists,"Compile data for use in activities, such as gene expression profiling, genome annotation, or structural bioinformatics.",BlackCat,2025/3/24,4,2,3,5,2,2
16793,Bioinformatics Scientists,"Manipulate publicly accessible, commercial, or proprietary genomic, proteomic, or post-genomic databases.",BlackCat,2025/3/24,4,2,3,5,2,2
16788,Bioinformatics Scientists,Create or modify web-based bioinformatics tools.,BlackCat,2025/3/24,4,2,3,5,2,2
16783,Bioinformatics Scientists,Instruct others in the selection and use of bioinformatics tools.,BlackCat,2025/3/24,3,3,4,5,4,4
16807,Molecular and Cellular Biologists,Maintain accurate laboratory records and data.,BlackCat,2025/3/24,3,3,4,5,2,3
23905,Molecular and Cellular Biologists,"Prepare or review reports, manuscripts, or meeting presentations.",BlackCat,2025/3/24,3,3,4,5,2,3
16808,Molecular and Cellular Biologists,Instruct undergraduate and graduate students within the areas of cellular or molecular biology.,BlackCat,2025/3/24,2,4,3,5,5,5
16814,Molecular and Cellular Biologists,Compile and analyze molecular or cellular experimental data and adjust experimental designs as necessary.,BlackCat,2025/3/24,3,2,3,5,2,3
16265,Biostatisticians,"Analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques.",PurpleBear,2025/3/24,4,1,4,4,2,3
16246,Biostatisticians,Calculate sample size requirements for clinical studies.,PurpleBear,2025/3/24,4,1,3,4,1,1
16252,Biostatisticians,Prepare tables and graphs to present clinical data or results.,PurpleBear,2025/3/24,4,1,3,4,2,4
16249,Biostatisticians,Write program code to analyze data with statistical analysis software.,PurpleBear,2025/3/24,4,1,3,4,2,4
16284,Clinical Data Managers,"Process clinical data, including receipt, entry, verification, or filing of information.",PurpleBear,2025/3/24,3,2,4,3,2,2
16280,Clinical Data Managers,"Generate data queries, based on validation checks or errors and omissions identified during data entry, to resolve identified problems.",PurpleBear,2025/3/24,3,1,4,4,2,4
