O*NET-SOC Code,Occupation (O*NET-SOC Title),Task ID,Task,Task Type,Date,Category,Frequency,Importance,Relevance,Occupation Mean Annual Wage,Occupation Employment,Skill (O*NET Work Activity),Skill ID (O*NET Generalized Work Activity ID)
11-9111.00,Medical and Health Services Managers,49,"Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports.",Core,08/2022,5.0,5.0,4.31,92.86,137730.0,565840.0,"['Thinking Creatively', 'Documenting/Recording Information']","['4.A.2.b.2', '4.A.3.b.6']"
11-9111.00,Medical and Health Services Managers,51,"Conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting.",Core,08/2022,3.0,3.0,4.16,89.29,137730.0,565840.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-9111.00,Medical and Health Services Managers,55,"Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options.",Core,08/2022,3.0,3.0,4.16,89.29,137730.0,565840.0,['Updating and Using Relevant Knowledge'],['4.A.2.b.3']
11-9111.00,Medical and Health Services Managers,52,"Establish work schedules and assignments for staff, according to workload, space, and equipment availability.",Core,08/2022,5.0,5.0,4.11,100.0,137730.0,565840.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-9111.00,Medical and Health Services Managers,61,Review and analyze facility activities and data to aid planning and cash and risk management and to improve service utilization.,Core,08/2022,3.0,3.0,3.83,82.14,137730.0,565840.0,"['Monitoring Processes, Materials, or Surroundings', 'Analyzing Data or Information']","['4.A.1.a.2', '4.A.2.a.4']"
11-9111.00,Medical and Health Services Managers,57,"Prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives.",Core,08/2022,3.0,3.0,3.78,96.43,137730.0,565840.0,['Documenting/Recording Information'],['4.A.3.b.6']
11-9121.01,Clinical Research Coordinators,15612,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.",Core,08/2021,4.0,4.0,4.49,84.74,,,['Scheduling Work and Activities'],['4.A.2.b.5']
11-9121.01,Clinical Research Coordinators,15595,"Prepare study-related documentation, such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, or progress reports.",Core,08/2021,3.0,3.0,4.41,82.57,,,['Documenting/Recording Information'],['4.A.3.b.6']
11-9121.01,Clinical Research Coordinators,15594,Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.,Core,08/2021,4.0,4.0,4.35,89.64,,,"['Documenting/Recording Information', 'Communicating with Supervisors, Peers, or Subordinates']","['4.A.3.b.6', '4.A.4.a.2']"
11-9121.01,Clinical Research Coordinators,15614,"Maintain required records of study activity including case report forms, drug dispensation records, or regulatory forms.",Core,08/2021,5.0,5.0,4.27,86.6,,,['Documenting/Recording Information'],['4.A.3.b.6']
11-9121.01,Clinical Research Coordinators,15593,"Review proposed study protocols to evaluate factors such as sample collection processes, data management plans, or potential subject risks.",Core,08/2021,3.0,3.0,4.22,89.22,,,['Analyzing Data or Information'],['4.A.2.a.4']
11-9121.01,Clinical Research Coordinators,15608,"Collaborate with investigators to prepare presentations or reports of clinical study procedures, results, and conclusions.",Core,08/2021,3.0,3.0,4.11,76.34,,,"['Communicating with Supervisors, Peers, or Subordinates']",['4.A.4.a.2']
11-9121.01,Clinical Research Coordinators,15592,Track enrollment status of subjects and document dropout information such as dropout causes and subject contact efforts.,Core,08/2021,5.0,5.0,4.08,83.81,,,['Documenting/Recording Information'],['4.A.3.b.6']
11-9121.01,Clinical Research Coordinators,15609,"Code, evaluate, or interpret collected study data.",Core,08/2021,3.0,3.0,4.07,72.21,,,"['Analyzing Data or Information', 'Working with Computers']","['4.A.2.a.4', '4.A.3.b.1']"
