Task ID,Occupation (O*NET-SOC Title),Task,User ID,Date,Self-reported Expertise,Automation Desire Rating,Time,Core Skill Rating,Job Security Rating,Enjoyment Rating,Reasons for Automation Desire - Free Time,Reasons for Automation Desire - Repetitive,Reasons for Automation Desire - Human Error,Reasons for Automation Desire - Stress,Reasons for Automation Desire - Difficulty,Reasons for Automation Desire - Scale,Physical Action Requirement,Interpersonal Communication Requirement,Involved Uncertainty,Domain Expertise Requirement,Human Agency Scale Rating,Reasons for Human Agency - Physical,Reasons for Human Agency - Control,Reasons for Human Agency - Domain Knowledge,Reasons for Human Agency - Empathy,Reasons for Human Agency - Quality Oversight,Reasons for Human Agency - Dynamic,Reasons for Human Agency - Ethical,Other Reason for Automation Desire,Other Reason for Human Agency
55,Medical and Health Services Managers,"Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options.",a17b322e-3134-475c-a652-89f27b3a9946,2025/1/21,Expert,2,1,4,1,3,False,False,False,False,False,False,2,2,2,5,3,False,False,True,False,True,False,True,FALSE,
15583,Clinical Research Coordinators,"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.",dc151eda-cd36-4aa0-be0d-4e9de0ab3cb9,2025/2/25,Average,1,1,4,3,3,False,False,False,False,False,False,2,2,1,3,3,False,False,True,False,True,True,False,FALSE,
15612,Clinical Research Coordinators,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.",494624da-6ebf-43d4-a843-9114931430ed,2025/2/25,Expert,5,1,1,5,3,True,True,True,False,False,True,1,4,1,2,2,False,False,False,False,False,False,False,it would allow me to focus on actual patient care. I would love to have epic that has developed the MY chart computer charting system incorpate a AI to do dicatation to the chart so that instead of typing I could talk to it to chart while actually actively doing the care on the patient and have more time for the much needed patients because in the hospitals most are under staffed and nurse are caring for more patients than they should so often when I was in the hospital setting I would get stuck after my shift at work charting for hours ,FALSE
15594,Clinical Research Coordinators,Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.,494624da-6ebf-43d4-a843-9114931430ed,2025/2/25,Expert,3,1,5,1,2,True,False,True,True,True,True,3,4,4,5,5,False,True,True,True,True,True,True,,legal concerns if not documented correctly and some situations are extremely random and not normal things so hard to intially put a dual legal ai and medical AI together to just do this alone but they would be of excellent value and reference to the nurses and doctors that have to make these reports
15607,Clinical Research Coordinators,Communicate with laboratories or investigators regarding laboratory findings.,494624da-6ebf-43d4-a843-9114931430ed,2025/2/25,Average,3,1,5,1,2,True,True,True,False,False,True,2,5,3,5,4,False,False,True,True,True,True,True,,
15583,Clinical Research Coordinators,"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.",494624da-6ebf-43d4-a843-9114931430ed,2025/2/25,Average,4,1,5,1,1,True,False,True,True,False,True,3,4,2,5,5,True,True,True,True,True,True,True,,the education is for the nurse and if the AI does the work and learning the nurse doesn't learn and so it would be a team effort
15612,Clinical Research Coordinators,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.",dc151eda-cd36-4aa0-be0d-4e9de0ab3cb9,2025/2/25,Expert,4,1,1,1,1,True,False,False,False,False,True,2,2,2,1,3,False,False,False,True,True,True,False,,
15594,Clinical Research Coordinators,Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.,f7544776-3a6b-4bd4-ab76-d8968065ffde,2025/2/25,Expert,3,3,5,4,2,True,True,False,True,False,False,2,4,4,4,4,False,True,True,True,False,False,False,,
15593,Clinical Research Coordinators,"Review proposed study protocols to evaluate factors such as sample collection processes, data management plans, or potential subject risks.",f7544776-3a6b-4bd4-ab76-d8968065ffde,2025/2/25,Average,3,2,4,3,3,False,False,False,True,True,True,2,3,3,3,3,False,True,True,False,True,False,True,,
15607,Clinical Research Coordinators,Communicate with laboratories or investigators regarding laboratory findings.,f7544776-3a6b-4bd4-ab76-d8968065ffde,2025/2/25,Average,4,2,3,1,1,True,True,False,True,True,False,1,2,2,2,2,False,False,False,False,False,False,False,,FALSE
